,Id,Name,Location,FollowersCount,FriendsCount,RetweetCount,TweetCount,Score
813,730119849674985473,ModiFor2019 TO SAVE BHARAT,"Clinton, MI",2323.0,2415.0,0,516,9801
811,1688879478,South Asian Voices,"Washington, DC",4382.0,646.0,0,104,9799
812,851130581177872387,🇮🇳 Rajesh Srivastava 🇮🇳,,4369.0,1041.0,0,104,9773
819,3274739737,Sami Ullah Durrani,Lahore Pakistan,506.0,429.0,515,516,9772
816,2709839619,Suhail Dainposh سہیل دینپوش,"Srinagar, Kashmir",1431.0,4640.0,103,619,9768
818,852853269584072704,‏مہرین خان,Indian Occupied Kashmir ,761.0,199.0,0,825,9767
820,830356075895472128,Suhaib Akram 😎 صہیب اکرم #UST,"नई दिल्ली, भारत",240.0,32.0,0,928,9755
814,133174428,Shambhu Mahadevaaye,Bharatvarsh,4352.0,4912.0,0,104,9739
815,1067824494453104640,Munna Official⭕,😁😁😁😁,4345.0,4349.0,0,104,9725
817,397630848,Mohammad Kamran,Pakistan 🇵🇰,4333.0,4633.0,0,104,9701
823,774561590347792384,Sanwal Butt🇧🇾,"karachi, Pakistan",2776.0,1655.0,0,413,9677
822,717605910026264576,Tayyab Balouch,Naya Pakistan,3288.0,1347.0,0,310,9671
821,760009440477192192,"TADDAYUN A, HISSAM","Lahore, Pakistan",4312.0,4999.0,0,104,9659
825,851123622341160960,Luna News,Worldwide,1991.0,1516.0,515,207,9652
824,720165751475343360,Arnaz Hathiram,India,4298.0,777.0,0,104,9631
827,964403088978100224,Kulwinder,Haryana India,2133.0,171.0,618,104,9627
826,370615515,CA. RAJEEV GUPTA,"Delhi NCR, INDIA",4282.0,896.0,0,104,9599
828,1064096656981991424,Kami Mughal,"Pakistan, Sialkot",3752.0,5001.0,0,207,9569
830,203807735,Dr Jitendra Nagar,Ahmedabad/Jaipur,2822.0,1446.0,412,104,9563
829,3016763619,Ãhmãđ,,4258.0,3640.0,0,104,9551
831,1031244602823647232,S Khan (Multan Sultan),In own dreams,3224.0,2117.0,0,310,9543
833,363612076,"Jahangir Sartaj, MD, MPH, MSc.",Toronto - Gujranwala,2699.0,3552.0,0,413,9523
832,4209702433,DARK MATTER 🇮🇳,In The Dark ,4242.0,1165.0,0,104,9519
834,1064432680438247424,Ayesha...♡, Naya Pakistan,4225.0,2902.0,0,104,9485
836,3230625147,Parth Parikh,"Ahmedabad,India",2673.0,4590.0,0,413,9471
835,807858812287942656,Om Prakash Rawat,,3701.0,479.0,0,207,9467
837,97573483,Stop the Gaustapo,Magrathea,4203.0,398.0,0,104,9441
838,102753335,Tom Hussain,"Lahore, Pakistan",4199.0,1142.0,0,104,9433
839,886205796400463872,Shami,"Punjab, Pakistan 🇵🇰",3168.0,4991.0,0,310,9431
840,2893366337,Pranjali singh,Delhi,1307.0,1729.0,824,104,9417
841,86004041,Saqib Mugloo,Srinagar,66.0,259.0,1030,207,9407
845,908055256919048192,bucky barnes,"Lyon, France",201.0,615.0,103,825,9368
846,752531297164230656,Ash Khanna,,401.0,372.0,927,207,9356
842,2712494158,#NamoAgain2019🚩🇮🇳,"""भारत माँ"" के आँचल में..",4141.0,623.0,0,104,9317
843,2974728432,Khansa (قلندری کڑی),"Lahore, Pakistan",4141.0,1075.0,0,104,9317
844,1096566492,InnovativeHindu 🇮🇳,Bharat ,3621.0,792.0,0,207,9307
849,13357842,Shael Sharma,India,2586.0,4616.0,0,413,9297
847,2832177978,Abdul Salam Dadabhoy,KARACHI PAKISTAN,3613.0,10.0,0,207,9291
848,115914257,Priyadarshi Das,"Kolkata, India",4121.0,4998.0,0,104,9277
850,842202619229663232,Sachin Bambhaniya,"Talaja, India",3398.0,1770.0,206,104,9273
